date,revenue,cost
2024-01-01,15000,11000
2024-01-02,16500,10500
2024-01-03,14800,11200
2024-01-04,17200,10800
2024-01-05,15800,12000
2024-01-06,16000,10000
2024-01-07,18500,11500
2024-01-08,17800,10900
2024-01-09,16200,11800
2024-01-10,19000,12500
2024-01-11,18200,11200
2024-01-12,17500,10800
2024-01-13,16800,11500
2024-01-14,15200,12800
2024-01-15,14500,10500
2024-01-16,16700,11000
2024-01-17,17900,10700
2024-01-18,18300,11300
2024-01-19,17600,12100
2024-01-20,19500,12000
2024-01-21,20000,11800
2024-01-22,18800,10900
2024-01-23,17200,11600
2024-01-24,16400,12200
2024-01-25,15900,11000
2024-01-26,17100,10800
2024-01-27,18600,11400
2024-01-28,19200,11900
2024-01-29,18500,12300
2024-01-30,17800,11100
2024-02-01,16500,10700
2024-02-02,17300,11200
2024-02-03,18100,10900
2024-02-04,19400,12400
2024-02-05,20500,12800
2024-02-06,21000,13000
2024-02-07,19800,11500
2024-02-08,18900,10800
2024-02-09,17600,11300
2024-02-10,16800,12000
2024-02-11,18200,11700
2024-02-12,19500,12200
2024-02-13,20300,12600
2024-02-14,21500,13200
2024-02-15,22000,13500
2024-02-16,20800,12300
2024-02-17,19500,11000
2024-02-18,18700,10700
2024-02-19,17900,11400
2024-02-20,19200,12100
2024-02-21,20600,12700
2024-02-22,21800,13100
2024-02-23,22500,13800
2024-02-24,21200,12400
2024-02-25,20000,11800
2024-02-26,19300,11200
2024-02-27,18500,10900
2024-02-28,17800,11600
2024-02-29,19000,12300
2024-03-01,20100,12900
